Timestamp,Strategy,Symbol,Side,Quantity,Price,OrderID
2026-03-18 09:20:10,MomentumBuy,NIFTY2632423700CE,BUY,195,240.05,260318150105683
2026-03-18 09:21:54,MomentumBuy,NIFTY2632423700CE,SELL,195,223,260318150125724
2026-03-18 09:25:10,MomentumBuy,NIFTY2632423700PE,BUY,195,233.9,260318150157672
2026-03-18 09:28:00,IronFly,NIFTY2632424200CE,BUY,130,47.25,260318150182800
2026-03-18 09:28:00,IronFly,NIFTY2632423200PE,BUY,130,83.25,260318150182833
2026-03-18 09:28:01,IronFly,NIFTY2632423700CE,SELL,130,222.15,260318150182866
2026-03-18 09:28:01,IronFly,NIFTY2632423700PE,SELL,130,218.55,260318150182892
2026-03-18 09:28:24,MomentumBuy,NIFTY2632423700PE,SELL,195,213.9,260318150186174
2026-03-18 09:34:58,IronFly,NIFTY2632423700CE,BUY,130,235.05,260318150237438
2026-03-18 09:34:59,IronFly,NIFTY2632423700PE,BUY,130,209.95,260318150237454
2026-03-18 09:34:59,IronFly,NIFTY2632424200CE,SELL,130,51.25,260318150237468
2026-03-18 09:34:59,IronFly,NIFTY2632423200PE,SELL,130,81,260318150237484
2026-03-18 09:57:34,IronFly,NIFTY2632424200CE,BUY,130,47.2,260318150382441
2026-03-18 09:57:35,IronFly,NIFTY2632423200PE,BUY,130,88.65,260318150382476
2026-03-18 09:57:35,IronFly,NIFTY2632423700CE,SELL,130,214.85,260318150382499
2026-03-18 09:57:35,IronFly,NIFTY2632423700PE,SELL,130,234.45,260318150382532
2026-03-18 10:25:10,MomentumBuy,NIFTY2632423700CE,BUY,195,236.15,260318150527784
2026-03-18 10:48:11,MomentumBuy,NIFTY2632423700CE,SELL,195,251.7,260318150615001
2026-03-18 10:55:10,MomentumBuy,NIFTY2632423750CE,BUY,195,234.9,260318150646752
2026-03-18 11:03:20,IronFly,NIFTY2632423700CE,BUY,130,278.35,260318150677045
2026-03-18 11:03:20,IronFly,NIFTY2632423700PE,BUY,130,190.05,260318150677059
2026-03-18 11:03:20,IronFly,NIFTY2632424200CE,SELL,130,65.6,260318150677072
2026-03-18 11:03:21,IronFly,NIFTY2632423200PE,SELL,130,76.3,260318150677088
2026-03-18 11:03:55,MomentumBuy,NIFTY2632423750CE,SELL,195,250.35,260318150679467
2026-03-18 11:10:12,ScalpingStrategy,NIFTY2632423800CE,BUY,195,213.75,260318150700171
2026-03-18 11:14:42,ScalpingStrategy,NIFTY2632423800CE,SELL,195,223.4,260318150713096
2026-03-18 11:30:10,ScalpingStrategy,NIFTY2632423800CE,BUY,195,217.05,260318150763491
2026-03-18 11:38:56,ScalpingStrategy,NIFTY2632423800CE,SELL,195,229.75,260318150788539
2026-03-18 11:41:23,IronFly,NIFTY2632424300CE,BUY,130,51.9,260318150798659
2026-03-18 11:41:23,IronFly,NIFTY2632423300PE,BUY,130,87,260318150798672
2026-03-18 11:41:24,IronFly,NIFTY2632423800CE,SELL,130,238.25,260318150798694
2026-03-18 11:41:24,IronFly,NIFTY2632423800PE,SELL,130,217.95,260318150798711
2026-03-18 11:45:10,MomentumBuy,NIFTY2632423800CE,BUY,195,241.2,260318150815282
2026-03-18 12:01:57,MomentumBuy,NIFTY2632423800CE,SELL,195,224.6,260318150862566
2026-03-18 12:09:26,IronFly,NIFTY2632423800CE,BUY,130,212.7,260318150885621
2026-03-18 12:09:27,IronFly,NIFTY2632423800PE,BUY,130,236.6,260318150885647
2026-03-18 12:09:27,IronFly,NIFTY2632424300CE,SELL,130,45.6,260318150885657
2026-03-18 12:09:27,IronFly,NIFTY2632423300PE,SELL,130,92.25,260318150885673
2026-03-18 12:10:10,ScalpingStrategy,NIFTY2632423800PE,BUY,195,235,260318150887602
2026-03-18 12:55:52,ScalpingStrategy,NIFTY2632423800PE,SELL,195,245.7,260318151007469
2026-03-18 13:45:10,ScalpingStrategy,NIFTY2632423850CE,BUY,195,215.65,260318151145898
2026-03-18 14:05:10,MomentumBuy,NIFTY2632423850PE,BUY,195,235.8,260318151205275
2026-03-18 14:13:38,ScalpingStrategy,NIFTY2632423850CE,SELL,195,191.6,260318151229411
2026-03-18 14:24:14,MomentumBuy,NIFTY2632423850PE,SELL,195,218.35,260318151261026
